"DOCUMENT_ID","TITLE","DOCUMENT_TYPE","DEPARTMENT","CREATED_AT","UPDATED_AT","VERSION","CHUNKED_CONTENT","CHUNK_INDEX"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","2. プライベートブランド商品の環境配慮
   - 環境配慮型パッケージの採用
   - 詰め替え商品の拡充
   - 原材料調達ガイドラインの運用
   - カーボンフットプリントの表示

3. リデュース・リユース商品の促進
   - マイバッグ・マイボトル推奨キャンペーン
   - 詰め替え商品の価格優遇
   - 簡易包装商品の開発
   - 使い捨てプラスチック削減商品の拡充

4. 環境情報の提供
   - 環境配慮商品の明示（店内POP）
   - 環境ラベルの説明表示
   - QRコードによる詳細環境情報提供
   - スタッフによる環境配慮型商品の説明強化","6"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","■ 店舗施設・設備の環境対応

1. 環境配慮型店舗設計
   - 自然採光の最大活用
   - 高断熱・高気密構造の採用
   - 屋上・壁面緑化の推進
   - 太陽光発電システムの導入

2. 設備の環境対応
   - 高効率設備機器の導入
   - BEMS（ビル・エネルギー管理システム）の活用
   - 熱交換型換気システムの導入
   - 電気自動車充電設備の設置

3. 植栽・外部環境
   - 店舗周辺の植栽による緑化
   - 在来種の積極的活用
   - 透水性舗装の採用
   - 店舗周辺の定期的な清掃活動

■ 環境コミュニケーション","7"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","■ 環境コミュニケーション

1. 顧客とのコミュニケーション
   - 環境配慮の取組みの店内掲示
   - 環境イベントの定期開催（エコ教室等）
   - 環境配慮型レシピの提案
   - アンケートによる環境意識調査

2. 地域社会との連携
   - 地域清掃活動への参加
   - 地元学校との環境教育連携
   - 自治体の環境キャンペーンへの協力
   - 地域環境団体との協働プロジェクト","8"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","3. 従業員の環境意識向上
   - 環境教育プログラムの実施
   - エコリーダーの育成（各店舗2名以上）
   - 環境改善提案制度の運用
   - 従業員向け環境活動（通勤時のエコ推進等）

4. 環境情報の開示
   - 環境レポートの発行（年1回）
   - ウェブサイトでの環境データ公開
   - 環境目標と達成状況の公表
   - 第三者評価の受審

■ 環境マネジメント体制

1. 環境管理組織
   - 本部環境委員会（四半期ごとに開催）
   - 店舗環境責任者の選任
   - 環境専門スタッフの育成
   - 外部専門家との連携","9"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","2. 環境目標設定と評価
   - 全社環境目標の設定（年次）
   - 店舗別環境行動計画の策定
   - 月次進捗管理と評価
   - 環境表彰制度の運用

3. 環境監査
   - 内部環境監査の実施（年2回）
   - 外部環境監査の受審（年1回）
   - 環境法規制遵守状況の確認
   - 改善策の立案と実施

4. 環境会計
   - 環境投資・環境コストの把握
   - 環境保全効果の測定
   - 環境経済効果の分析
   - 経営指標への環境指標の統合","10"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","※ 本ガイドラインは2024年3月改訂版です。すべての店舗で本ガイドラインに基づく
環境配慮型店舗運営を実践し、定期的に進捗状況を確認してください。環境に関する
新たな取組みや提案は環境推進部までお寄せください。","11"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","【スノーリテール 商品返品・交換対応手順】

■ 基本方針

スノーリテールでは、お客様満足度向上のため、商品返品・交換に関して
柔軟かつ適切な対応を行います。本手順書に従い、お客様の立場に立った
誠実な対応を心がけてください。

■ 返品・交換の基本条件

1. 基本的な返品・交換条件
   - レシートまたは購入証明があること（原則）
   - 購入日から8日以内であること
   - 商品に使用・消費の形跡がないこと（食品を除く）
   - 商品タグ・付属品が揃っていること（該当する場合）","0"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","2. 条件の例外ケース
   - 商品不良の場合は購入日から30日まで期間延長
   - レシートがなくても、ポイントカード履歴で確認できる場合は対応可
   - 品質上の問題がある場合は使用後でも対応可能
   - ギフト商品は贈答者の購入証明でも対応可能

■ 部門別返品・交換基準

1. 生鮮食品
   - 鮮度不良の場合は無条件で返金または交換
   - 購入当日のみ対応（原則）
   - 商品現物の確認が必要
   - 写真による代用も可（来店が困難な場合）","1"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","2. 加工食品・日配品
   - 賞味期限内の品質不良は返金または交換
   - 開封後の味・風味への不満は状況判断
   - 異物混入は商品と異物を保管し本部報告
   - 掲載内容と実物の相違は全額返金

3. 衣料品・日用品
   - 未使用・タグ付きなら購入後8日以内は返金可
   - 使用後の不具合は製造上の不良か確認
   - クリーニング可能な汚れは対応後に返却
   - サイズ交換は同一商品の在庫がある場合のみ","2"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","4. 家電・家具
   - 初期不良は購入後8日以内なら無条件交換
   - 購入後8日以降は製造元保証で対応
   - 開封後のイメージ違いは店長判断
   - 配送設置商品の返品は別途引取料が必要

■ 返金・交換の具体的手順

1. お客様対応
   - 丁寧に状況をヒアリング
   - お客様の要望確認（返金or交換）
   - 対応可能か判断し、説明
   - 謝罪と感謝の言葉を必ず伝える

2. 返金処理
   - レシートと商品の確認
   - 返品理由をPOSシステムに入力
   - 現金またはクレジット返金処理
   - 返品受領書への記入依頼","3"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","3. 交換処理
   - 交換商品の用意
   - 同一商品がない場合は代替品の提案
   - 価格差がある場合は差額精算
   - 交換完了の確認

4. クレジットカード・電子マネー返金
   - クレジットカード払いは同じカードへの返金処理
   - カード不所持の場合は店舗ギフトカード対応
   - 電子マネーは原則同じ電子マネーへ返金
   - 例外対応は店長承認が必要

■ 判断が難しいケースの対応","4"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","■ 判断が難しいケースの対応

1. レシートがない場合
   - ポイントカード履歴で確認
   - 商品に当店価格シールがある場合は参考に
   - 定価商品で未使用明らかな場合は店長判断で対応可
   - 高額商品（5,000円超）は本部確認

2. 長期経過後の返品
   - 食品は不可（安全上の理由）
   - 耐久消費財は製造上の明らかな不良のみ対応
   - 季節商品の長期経過後返品は原則不可
   - ギフト商品は状況に応じて柔軟対応","5"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","3. メーカー保証対象の商品
   - 初期不良（8日以内）は店舗で交換対応
   - 8日以降はメーカーサポート窓口案内
   - 修理対応可能な商品はメーカー修理受付
   - 店舗での取次サービスの案内

■ 記録と報告

1. 返品・交換記録
   - POSシステムへの詳細入力
   - 返品商品の処理区分選択
   - 高額返品（5,000円超）は写真撮影
   - 返品理由の詳細記録","6"
"DOC022","商品返品・交換対応手順","マニュアル","カスタマーサービス部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","2.0","2. 返品分析と対策
   - 週次での返品集計と分析
   - 同一商品の返品が複数ある場合の調査
   - 品質改善につなげるメーカーへのフィードバック
   - 返品率の高い商品のアソート見直し

3. 本部報告事項
   - 食品の品質不良・異物混入（全件）
   - 高額商品の返品（5,000円超）
   - 同一商品の返品が3件以上
   - お客様とのトラブル事例

※ 本手順書は2024年1月改訂版です。状況に応じて柔軟な対応を心がけつつも、
ルールの範囲内で対応してください。判断に迷う場合は必ず上長に相談してください。","7"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","【スノーフレッシュ 2024年版総合カタログ】

■ スノーフレッシュブランドの理念

「確かな品質、適正価格、あなたの食卓に笑顔を」をコンセプトに、
厳選した原材料と丁寧な製造工程で、毎日の食卓に安心と豊かさを
お届けする、スノーリテールのプライベートブランドです。

■ 商品カテゴリー","0"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","■ 商品カテゴリー

1. スノーフレッシュ オーガニック（有機JAS認証取得商品）
   - 有機野菜セレクション
     * 有機サラダ菜パック（298円）：千葉県産契約農家栽培
     * 有機人参3本パック（258円）：北海道産契約農家栽培
     * 有機じゃがいも2kgパック（498円）：長崎県産契約農家栽培
   
   - 有機果物セレクション
     * 有機バナナ（398円/袋）：フィリピン産フェアトレード認証
     * 有機レモン3個パック（298円）：和歌山県産契約農家栽培
     * 有機ブルーベリー（598円/パック）：長野県産契約農家栽培","1"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","- 有機加工食品
     * 有機トマトジュース（298円/500ml）：国産有機トマト100%使用
     * 有機緑茶ティーバッグ（398円/20袋）：静岡県産有機茶葉使用
     * 有機ミューズリー（598円/400g）：国内製造、9種の有機素材使用","2"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","2. スノーフレッシュ デイリー（日配品）
   - 乳製品
     * 特選牛乳（218円/1L）：北海道産生乳100%使用
     * プレーンヨーグルト（158円/400g）：生乳由来の乳酸菌使用
     * 北海道チーズシリーズ（398円〜）：北海道十勝産チーズ使用
   
   - 卵・豆腐製品
     * 平飼い卵（298円/10個）：専用農場での平飼い鶏から採卵
     * 国産大豆絹ごし豆腐（98円/1丁）：国産大豆100%使用
     * 濃厚木綿豆腐（128円/1丁）：高タンパク、濃厚な味わい","3"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","- パン製品
     * 毎日食パン（158円/6枚切）：国産小麦使用、保存料無添加
     * 十穀パン（198円/5枚切）：十種の穀物配合
     * 低糖質ブレッド（258円/6枚切）：糖質30%オフ

3. スノーセレクト（高品質プレミアムライン）
   - 精肉シリーズ
     * プレミアム和牛（1,980円〜）：A4等級以上の国産黒毛和牛
     * 熟成豚肉（698円〜）：30日間熟成させた風味豊かな豚肉
     * 朝びき地鶏（598円〜）：産地直送の鮮度抜群地鶏","4"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","- 鮮魚シリーズ
     * 朝獲れ鮮魚（498円〜）：その日の朝に水揚げされた魚種
     * 高級刺身盛り合わせ（1,280円〜）：職人技で仕上げた刺身
     * ブランド地魚シリーズ（698円〜）：各地の名産魚介類

   - デリカテッセン
     * シェフ特製惣菜（398円〜）：プロの料理人監修メニュー
     * 高級サラダシリーズ（298円〜）：厳選素材とオリジナルドレッシング
     * パーティーセレクション（1,980円〜）：おもてなしにぴったりの詰合せ","5"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","4. スノーデリ（簡単調理キット）
   - 和食キット
     * 本格カレーキット（598円/2人前）：20分で完成
     * ビビンバ丼キット（498円/1人前）：レンジで3分
     * 鍋セット各種（998円/2-3人前）：季節に応じた鍋セット
   
   - 洋食キット
     * パスタセット（498円/2人前）：麺とソースのセット
     * ハンバーグキット（598円/2人前）：付け合わせ野菜付き
     * スープセット（398円/2人前）：具材入り簡単スープ
   
   - アジア料理キット","6"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","- アジア料理キット
     * タイ風グリーンカレー（598円/2人前）：本格アジア風味
     * エスニック麺セット（498円/1人前）：フォーやパッタイなど
     * 中華炒めセット（598円/2人前）：野菜、肉、調味料をセット","7"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","■ 商品開発ポリシー

1. 厳選した原材料
   - 原則として国内産原料を優先使用
   - 海外産の場合は安全性の高い産地を選定
   - 化学添加物の使用を最小限に抑制

2. 持続可能な調達
   - 環境負荷の少ない生産方法を採用した契約農家
   - リサイクル可能なパッケージの使用
   - フェアトレード認証製品の積極採用

3. 品質管理
   - 全商品に対する定期的な品質検査の実施
   - 安全性・栄養価に関する第三者機関の検証
   - 消費者モニターによる定期的な味覚テスト","8"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","4. 情報公開
   - 原材料の産地表示の徹底
   - アレルギー情報の明確な表示
   - 生産工程・流通経路の透明化

■ 販促活動カレンダー（2024年）

4月：スノーフレッシュ春の新商品フェア
5月：有機栽培野菜&フルーツフェスティバル
6月：梅雨を彩るスノーデリ特集
7-8月：夏の冷製デリカフェア
9月：実りの秋スノーセレクト展
10-11月：鍋と煮込み料理フェア
12月：クリスマス・年末スペシャルセレクション","9"
"DOC016","スノーフレッシュ商品カタログ","カタログ","マーケティング部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","※ 本カタログは2024年4月時点の情報です。商品の入荷状況や価格は
変更になる場合があります。詳細はスノーリテール公式アプリまたは
店舗スタッフにお尋ねください。","10"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","【スノーリテール 鮮度管理マニュアル】

■ 鮮度管理の基本方針

スノーリテールでは「お客様に最高の鮮度をお届けする」ことを最重要視します。
当社の鮮度管理は「温度管理」「時間管理」「衛生管理」「在庫回転管理」の
4つの柱で構成されています。

■ 温度管理基準","0"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","1. 部門別保管温度基準
   【青果部門】
   - 葉物野菜：2〜5℃
   - 根菜・果菜：5〜10℃
   - トロピカルフルーツ：10〜15℃
   - カットフルーツ：2〜5℃
   
   【精肉部門】
   - 牛肉・豚肉：0〜4℃
   - 鶏肉：0〜2℃
   - 挽肉製品：0〜2℃
   - 加工肉：2〜4℃
   
   【鮮魚部門】
   - 鮮魚（丸魚）：0〜2℃
   - 刺身・切り身：0〜2℃
   - 貝類：3〜5℃
   - 冷凍魚：-18℃以下
   
   【惣菜部門】
   - 冷蔵惣菜：2〜5℃
   - 温蔵惣菜：65℃以上","1"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","- 温蔵惣菜：65℃以上
   - サラダ類：2〜5℃
   - 寿司類：4℃以下","2"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","2. 温度管理チェック体制
   - 開店前、昼、閉店前の1日3回実施
   - デジタル温度計を使用し0.1℃単位で測定
   - ショーケース内の複数箇所で測定
   - 温度記録表に記入し、1年間保存
   - 基準逸脱時は直ちに店長に報告

3. 冷蔵・冷凍設備の管理
   - 日次：庫内温度チェック、ドアパッキン確認
   - 週次：霜取り、設備の清掃
   - 月次：コンプレッサー等の動作確認
   - 半年：専門業者による点検

■ 時間管理","3"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","■ 時間管理

1. 時間管理のポイント
   - 入荷から陳列までの時間を最小化
   - 荷受け後60分以内に冷蔵・冷凍保管を完了
   - 冷蔵・冷凍商品の常温放置時間は累計15分以内に制限
   - 調理品は製造から提供までの時間を記録","4"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","2. 商品別陳列時間制限
   - 刺身、寿司：4時間
   - 精肉トレイ：6時間
   - カットフルーツ：8時間
   - 調理パン：12時間
   - 惣菜（温蔵）：3時間
   
3. 作業時間短縮のための工夫
   - バックヤードと売場の動線最適化
   - 一度に運べる商品量の適正化
   - 優先順位を明確にした作業手順
   - 部門間の協力体制の構築

■ 衛生管理

1. 日常の衛生管理
   - 作業開始前の手洗い、手指消毒の徹底
   - 2時間に1回の手洗い・手袋交換
   - 作業台・調理器具の使用前後の洗浄・消毒
   - 食品別の専用まな板・包丁の使用","5"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","2. 定期的な衛生点検
   - 日次：作業台・器具の洗浄度検査
   - 週次：冷蔵庫内部の清掃・消毒
   - 月次：排水口・エアコンフィルターの清掃
   - 四半期：ATP検査による清浄度評価

3. 従業員の衛生管理
   - 健康状態の毎日の報告（体調チェックシート）
   - 手指の傷・腫れのチェック
   - 清潔な作業着・帽子・マスクの着用
   - 年2回の検便検査の実施

■ 在庫回転管理

1. 先入れ先出しの徹底
   - 入荷日時をラベル表示
   - 新しい商品は必ず奥から補充
   - 陳列商品の日付・時間をチェック
   - 補充前に既存商品の日付確認","6"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","2. 適正在庫の維持
   - 商品別の適正在庫量を設定
   - 売上予測に基づく発注
   - 天候・イベントに合わせた在庫調整
   - 週間・日別の在庫回転率の計測

3. 部門別在庫回転率目標
   - 青果部門：6.0回転/週
   - 精肉部門：5.0回転/週
   - 鮮魚部門：5.5回転/週
   - 惣菜部門：7.0回転/週
   - 日配部門：4.5回転/週

■ 商品チェック基準

1. 青果のチェックポイント
   - 外観：傷、変色がないか
   - 触感：適度な弾力があるか
   - 香り：異臭がないか
   - 鮮度：みずみずしさ、しおれていないか","7"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","2. 精肉のチェックポイント
   - 色沢：鮮やかさ、変色がないか
   - ドリップ：適量か、過多でないか
   - 匂い：生肉特有の香りか
   - パック状態：気密性が保たれているか

3. 鮮魚のチェックポイント
   - 目：透明で濁りがないか
   - えら：鮮紅色か
   - 皮：つやと粘りがあるか
   - 弾力：指で押して戻るか
   - 腹部：破れや変色がないか

4. 惣菜のチェックポイント
   - 外観：つや、彩りが良いか
   - 温度：適温で提供されているか
   - 香り：異臭がないか
   - 時間：調理後の経過時間は適切か

■ 鮮度不良品の処理","8"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","■ 鮮度不良品の処理

1. 判断基準
   - 外観・色・香りが変化している
   - 消費期限・賞味期限が切れている
   - 温度管理基準を逸脱した時間が長い
   - 包装の破損・汚損がある

2. 処理手順
   - 売場から速やかに撤去
   - 廃棄記録に記入（商品名、数量、理由）
   - 専用廃棄ボックスに分別
   - 関連商品の鮮度確認

3. 鮮度不良の分析と対策
   - 不良発生パターンの分析
   - 調達・物流・店舗オペレーションの問題点特定
   - 改善策の立案と実施
   - 効果検証と標準作業の見直し","9"
"DOC017","鮮度管理マニュアル","マニュアル","品質管理部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","3.0","※ 本マニュアルは2024年5月改訂版です。食品衛生法およびHACCP関連法規の改正に
対応して内容を更新しています。不明点は品質管理部（内線3344）までお問い合わせください。","10"
"DOC029","従業員教育プログラム基本方針","方針書","人材開発部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","【スノーリテール 従業員教育プログラム基本方針】

■ 教育理念

スノーリテールでは、「人財なくして企業の成長なし」という考えのもと、
すべての従業員が能力を最大限に発揮し、やりがいを持って働ける環境づくりを
目指します。教育・研修を通じて、企業理念を体現できる人財を育成し、
お客様満足度の向上と企業の持続的成長を実現します。

■ 教育体系の全体像","0"
"DOC029","従業員教育プログラム基本方針","方針書","人材開発部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","■ 教育体系の全体像

1. 階層別教育
   - 新入社員研修
   - 若手社員フォローアップ研修（入社2〜3年目）
   - 中堅社員研修（入社4〜7年目）
   - 監督者研修（主任・係長クラス）
   - 管理職研修（店長・課長クラス）
   - 経営幹部研修（部長クラス以上）

2. 職種別専門教育
   - 店舗運営スキル
   - 商品知識
   - 接客サービス
   - マーチャンダイジング
   - 店舗管理
   - 販売促進","1"
"DOC029","従業員教育プログラム基本方針","方針書","人材開発部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","3. 選抜教育
   - 次世代リーダー育成プログラム
   - 経営幹部候補育成プログラム
   - 専門スキルエキスパート育成
   - 海外研修プログラム

4. 自己啓発支援
   - eラーニングシステム
   - 通信教育講座補助
   - 資格取得支援
   - 社内勉強会

■ 階層別教育プログラムの特徴

1. 新入社員教育（入社1年目）
   [目的]
   - 企業理念・行動規範の理解
   - 基本業務スキルの習得
   - 社会人としての基礎力養成
   - 職場への円滑な適応","2"
"DOC029","従業員教育プログラム基本方針","方針書","人材開発部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","[研修内容]
   - 入社時集合研修（2週間）
   - OJTトレーニング（3ヶ月）
   - フォローアップ研修（入社3ヶ月後、6ヶ月後）
   - メンター制度によるサポート（1年間）

2. 若手社員教育（入社2〜3年目）
   [目的]
   - 業務の幅と深さの拡大
   - 問題解決能力の向上
   - 後輩指導の基礎力養成
   - キャリア意識の形成

   [研修内容]
   - 業務専門性強化研修
   - 問題解決研修
   - 後輩指導スキル研修
   - キャリア設計ワークショップ","3"
